code,category,met,description
01003,Bicycling,14.0,"Bicycling, mountain, uphill, vigorous"
01004,Bicycling,16.0,"Bicycling, mountain, competitive racing"
01008,Bicycling,8.5,"Bicycling, BMX"
01009,Bicycling,8.5,"Bicycling, mountain, general"
01010,Bicycling,4.0,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)"
01011,Bicycling,6.8,"Bicycling, to/from work, self selected pace"
01013,Bicycling,5.8,"Bicycling, on dirt or farm road, moderate pace"
01014,Bicycling,7.0,"Bicycling, general"
01015,Bicycling,4.3,"Bicycling, self-selected easy pace"
01016,Bicycling,7.0,"Bicycling, self-selected moderate pace"
01017,Bicycling,9.0,"Bicycling, self-selected vigorous pace"
01018,Bicycling,3.5,"Bicycling, leisure 5.5 mph"
01019,Bicycling,5.8,"Bicycling, leisure, 9.4 mph"
01020,Bicycling,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort"
01030,Bicycling,8.0,"Bicycling, 12-13.9 mph, leisure, moderate effort"
01040,Bicycling,10.0,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort"
01050,Bicycling,12.0,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general"
01060,Bicycling,16.8,"Bicycling, >20 mph, racing, not drafting"
01065,Bicycling,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm"
01066,Bicycling,9.0,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm"
01070,Bicycling,5.0,Unicycling
01080,Bicycling,6.8,E-bike (electrically assisted) without electronic support
01084,Bicycling,6.0,E-bike (electrically assisted) with light electronic support
01088,Bicycling,4.0,E-bike (electrically assisted) with high electronic support
01200,Bicycling,6.8,"Bicycling, stationary, general"
01210,Bicycling,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort"
01214,Bicycling,4.0,"Bicycling, stationary, 50 watts, light effort"
01216,Bicycling,5.0,"Bicycling, stationary, 60 watts, light to moderate effort"
01218,Bicycling,5.8,"Bicycling, stationary, 70-80 watts"
01220,Bicycling,6.0,"Bicycling, stationary, 90-100 watts, moderate to vigorous"
01224,Bicycling,6.8,"Bicycling, stationary, 101-125 watts"
01228,Bicycling,8.0,"Bicycling, stationary, 126-150 watts"
01232,Bicycling,10.3,"Bicycling, stationary, 151-199 watts"
01236,Bicycling,10.8,"Bicycling, stationary, 200-229 watts, vigorous"
01240,Bicycling,12.5,"Bicycling, stationary, 230-250 watts, very vigorous"
01244,Bicycling,13.8,"Bicycling, stationary, 270-305 watts, very vigorous"
01248,Bicycling,16.3,"Bicycling, stationary, >325 watts, very vigorous"
01252,Bicycling,5.5,"Bicycling, concentric only, 100 W"
01254,Bicycling,11.0,"Bicycling, concentric only, 200 W"
01262,Bicycling,2.3,"Bicycling, eccentric only, 100 to 149 W"
01264,Bicycling,4.0,"Bicycling, eccentric only, 200 W"
01270,Bicycling,9.0,"Bicycling, stationary, RPM/Spin bike class"
01290,Bicycling,8.8,"Bicycling, interactive virtual cycling, indoor cycle ergometer"
01305,Bicycling,8.8,"Bicycling, high intensity interval training"
02000,Conditioning Exercise,7.3,"Aerobic, general"
02001,Conditioning Exercise,5.5,"Aerobic, step, with 4-inch step"
02002,Conditioning Exercise,7.3,"Aerobic, step, with 6 – 8 inch step"
02003,Conditioning Exercise,9.0,"Aerobic, step, with 10 – 12 inch step"
02004,Conditioning Exercise,7.8,"Bench step class, general"
02005,Conditioning Exercise,4.8,"Aerobic dance, low impact, moderate effort"
02006,Conditioning Exercise,8.0,"Aerobic dance, high impact, vigorous effort"
02007,Conditioning Exercise,10.0,Aerobic dance wearing 10-15 lb weights
02008,Conditioning Exercise,5.0,"Army type obstacle course exercise, boot camp training program"
02020,Conditioning Exercise,7.5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort"
02022,Conditioning Exercise,3.8,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort"
02024,Conditioning Exercise,2.8,"Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort"
02030,Conditioning Exercise,3.5,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)"
02032,Conditioning Exercise,6.0,"Circuit training, body weight exercises"
02034,Conditioning Exercise,3.5,"Circuit training, light effort"
02035,Conditioning Exercise,5.0,"Circuit training, moderate effort"
02040,Conditioning Exercise,7.5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity"
02045,Conditioning Exercise,3.5,Curves™ exercise routines in women
02048,Conditioning Exercise,5.0,"Elliptical trainer, moderate effort"
02049,Conditioning Exercise,9.0,"Elliptical trainer, vigorous effort"
02050,Conditioning Exercise,6.0,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)"
02052,Conditioning Exercise,5.0,"Resistance (weight) training, squats, deadlift, slow or explosive effort"
02054,Conditioning Exercise,3.5,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance"
